#: table_doi: 10.17182/hepdata.106657.v1/t1
#: name: Figure 6 Pi+
#: description: Centrality dependence of the $p_{T}$ distribution for $\pi^{+}$ in Au+Au collisions at $\sqrt{s_{NN}}$ = 200 GeV. Errors are statistical only.
#: data_file: fig1-1.yaml
#: keyword reactions: AU AU --> CHARGED X
#: keyword cmenergies: 200.0
#: centrality         0-5%
#$p_T$ (GeV/c)   $p_T$ (GeV/c) LOW   $p_T$ (GeV/c) HIGH   $\frac{1}{N_{Event}2\pi p_{T}}\frac{d^{2}N}{dp_{T}dy}$   stat_err +   stat_err -
0.25   0.2   0.3   329.0   2.7   -2.7
0.35   0.3   0.4   197.0   1.6   -1.6
0.45   0.4   0.5   120.0   1.1   -1.1
0.55   0.5   0.6   72.6   0.67   -0.67
0.6499999999999999   0.6   0.7   44.9   0.45   -0.45
0.75   0.7   0.8   29.3   0.33   -0.33
0.8500000000000001   0.8   0.9   18.2   0.22   -0.22
0.95   0.9   1   12.1   0.16   -0.16
1.05   1   1.1   7.96   0.11   -0.11
1.15   1.1   1.2   5.32   0.08   -0.08
1.25   1.2   1.3   3.55   0.057   -0.057
1.35   1.3   1.4   2.55   0.045   -0.045
1.45   1.4   1.5   1.72   0.033   -0.033
1.55   1.5   1.6   1.13   0.023   -0.023
1.65   1.6   1.7   0.805   0.018   -0.018
1.75   1.7   1.8   0.57   0.014   -0.014
1.85   1.8   1.9   0.418   0.012   -0.012
1.95   1.9   2   0.28   0.009   -0.009
2.05   2   2.1   0.209   0.0061   -0.0061
2.1500000000000004   2.1   2.2   0.136   0.0048   -0.0048
2.25   2.2   2.3   0.091   0.0038   -0.0038
2.3499999999999996   2.3   2.4   0.072   0.0036   -0.0036
2.45   2.4   2.5   0.054   0.0032   -0.0032
2.55   2.5   2.6   0.0378   0.0028   -0.0028
2.6500000000000004   2.6   2.7   0.0265   0.0025   -0.0025
2.75   2.7   2.8   0.0227   0.0025   -0.0025
2.8499999999999996   2.8   2.9   0.0128   0.0019   -0.0019
2.95   2.9   3   0.0103   0.0018   -0.0018
