#: table_doi: 10.17182/hepdata.106657.v1/t5
#: name: Figure 8 Protons
#: description: Centrality dependence of the $p_{T}$ distribution for protons in Au+Au collisions at $\sqrt{s_{NN}}$ = 200 GeV. Errors are statistical only.
#: data_file: fig1-5.yaml
#: keyword reactions: AU AU --> CHARGED X
#: keyword cmenergies: 200.0
#: centrality         0-5%
#$p_T$ (GeV/c)   $p_T$ (GeV/c) LOW   $p_T$ (GeV/c) HIGH   $\frac{1}{N_{Event}2\pi p_{T}}\frac{d^{2}N}{dp_{T}dy}$   stat_err +   stat_err -
0.6499999999999999   0.6   0.7   2.9   0.093   -0.093
0.75   0.7   0.8   2.65   0.085   -0.085
0.8500000000000001   0.8   0.9   2.28   0.073   -0.073
0.95   0.9   1   2.0   0.066   -0.066
1.05   1   1.1   1.68   0.057   -0.057
1.15   1.1   1.2   1.46   0.051   -0.051
1.25   1.2   1.3   1.16   0.042   -0.042
1.35   1.3   1.4   0.972   0.037   -0.037
1.45   1.4   1.5   0.742   0.029   -0.029
1.55   1.5   1.6   0.605   0.025   -0.025
1.65   1.6   1.7   0.455   0.02   -0.02
1.75   1.7   1.8   0.351   0.016   -0.016
1.85   1.8   1.9   0.285   0.014   -0.014
1.95   1.9   2   0.199   0.011   -0.011
2.1   2   2.2   0.135   0.005   -0.005
2.3   2.2   2.4   0.0769   0.0035   -0.0035
2.5   2.4   2.6   0.0439   0.0025   -0.0025
2.7   2.6   2.8   0.0244   0.0018   -0.0018
2.9   2.8   3   0.0154   0.0014   -0.0014
3.25   3   3.5   0.00598   0.00055   -0.00055
3.75   3.5   4   0.00205   0.00031   -0.00031
4.25   4   4.5   0.000896   0.00022   -0.00022
